Target,Mol_Index,Confidence,Category
6UKJ,209,-1.12,Moderate (-1.5 to 0)
4GM2,82,-1.1,Moderate (-1.5 to 0)
4GM2,236,-1.27,Moderate (-1.5 to 0)
7F3Y,280,-1.34,Moderate (-1.5 to 0)
6UKJ,345,-2.11,Low (<-1.5)
7F3Y,470,-0.64,Moderate (-1.5 to 0)
4GM2,339,-0.56,Moderate (-1.5 to 0)
9N10,56,-0.97,Moderate (-1.5 to 0)
9N10,169,-0.92,Moderate (-1.5 to 0)
6UKJ,194,-1.72,Low (<-1.5)
4GM2,317,-1.8,Low (<-1.5)
9N10,322,-1.61,Low (<-1.5)
4GM2,158,-1.3,Moderate (-1.5 to 0)
9N10,436,-3.0,Low (<-1.5)
9N10,467,-1.05,Moderate (-1.5 to 0)
7F3Y,266,-1.41,Moderate (-1.5 to 0)
9N10,266,-1.82,Low (<-1.5)
9N10,383,-1.69,Low (<-1.5)
6UKJ,319,-0.99,Moderate (-1.5 to 0)
4GM2,152,-0.8,Moderate (-1.5 to 0)
7F3Y,265,-0.79,Moderate (-1.5 to 0)
7F3Y,136,-0.73,Moderate (-1.5 to 0)
9N10,341,-2.15,Low (<-1.5)
9N10,421,-0.63,Moderate (-1.5 to 0)
7F3Y,17,-1.12,Moderate (-1.5 to 0)
7F3Y,35,-0.08,Moderate (-1.5 to 0)
7F3Y,225,-1.09,Moderate (-1.5 to 0)
7F3Y,108,-0.53,Moderate (-1.5 to 0)
4GM2,213,-2.19,Low (<-1.5)
6UKJ,152,-0.39,Moderate (-1.5 to 0)
4GM2,243,-1.6,Low (<-1.5)
4GM2,184,-0.37,Moderate (-1.5 to 0)
9N10,378,-1.04,Moderate (-1.5 to 0)
4GM2,182,-0.78,Moderate (-1.5 to 0)
6UKJ,224,-1.59,Low (<-1.5)
6UKJ,107,-1.16,Moderate (-1.5 to 0)
4GM2,94,-0.55,Moderate (-1.5 to 0)
6UKJ,434,-0.86,Moderate (-1.5 to 0)
6UKJ,149,-0.9,Moderate (-1.5 to 0)
7F3Y,423,-0.83,Moderate (-1.5 to 0)
7F3Y,294,-1.6,Low (<-1.5)
4GM2,415,-0.93,Moderate (-1.5 to 0)
7F3Y,126,-1.04,Moderate (-1.5 to 0)
9N10,386,-2.56,Low (<-1.5)
6UKJ,47,-0.8,Moderate (-1.5 to 0)
9N10,98,-1.85,Low (<-1.5)
9N10,218,-2.08,Low (<-1.5)
7F3Y,56,-0.95,Moderate (-1.5 to 0)
6UKJ,226,-1.23,Moderate (-1.5 to 0)
7F3Y,317,-1.05,Moderate (-1.5 to 0)
9N10,9,-1.57,Low (<-1.5)
7F3Y,345,-0.89,Moderate (-1.5 to 0)
6UKJ,159,-1.42,Moderate (-1.5 to 0)
4GM2,396,-0.89,Moderate (-1.5 to 0)
6UKJ,257,-1.27,Moderate (-1.5 to 0)
6UKJ,250,-1.23,Moderate (-1.5 to 0)
6UKJ,19,-1.2,Moderate (-1.5 to 0)
6UKJ,418,-1.2,Moderate (-1.5 to 0)
4GM2,344,-0.82,Moderate (-1.5 to 0)
9N10,337,-2.58,Low (<-1.5)
7F3Y,359,-0.88,Moderate (-1.5 to 0)
7F3Y,298,-0.86,Moderate (-1.5 to 0)
6UKJ,401,-1.22,Moderate (-1.5 to 0)
9N10,245,-0.13,Moderate (-1.5 to 0)
7F3Y,11,,Missing
9N10,240,-2.38,Low (<-1.5)
4GM2,471,-1.77,Low (<-1.5)
7F3Y,30,-1.04,Moderate (-1.5 to 0)
4GM2,80,-1.7,Low (<-1.5)
9N10,350,-2.36,Low (<-1.5)
9N10,225,-1.83,Low (<-1.5)
4GM2,411,-0.77,Moderate (-1.5 to 0)
4GM2,226,-1.51,Low (<-1.5)
4GM2,132,-1.6,Low (<-1.5)
9N10,139,-1.91,Low (<-1.5)
7F3Y,191,-0.52,Moderate (-1.5 to 0)
6UKJ,273,-1.73,Low (<-1.5)
6UKJ,60,-0.66,Moderate (-1.5 to 0)
4GM2,268,-3.51,Low (<-1.5)
4GM2,299,-1.77,Low (<-1.5)
6UKJ,354,-1.61,Low (<-1.5)
6UKJ,228,-1.52,Low (<-1.5)
6UKJ,127,-1.41,Moderate (-1.5 to 0)
6UKJ,185,-1.73,Low (<-1.5)
7F3Y,292,-1.21,Moderate (-1.5 to 0)
9N10,363,-1.6,Low (<-1.5)
7F3Y,57,-0.65,Moderate (-1.5 to 0)
9N10,102,-1.46,Moderate (-1.5 to 0)
6UKJ,204,-1.04,Moderate (-1.5 to 0)
9N10,217,-2.65,Low (<-1.5)
7F3Y,446,-0.97,Moderate (-1.5 to 0)
7F3Y,276,-1.0,Moderate (-1.5 to 0)
9N10,1,-2.83,Low (<-1.5)
6UKJ,28,-0.96,Moderate (-1.5 to 0)
9N10,241,-1.43,Moderate (-1.5 to 0)
4GM2,307,-0.65,Moderate (-1.5 to 0)
9N10,109,-0.93,Moderate (-1.5 to 0)
7F3Y,64,-0.53,Moderate (-1.5 to 0)
6UKJ,30,-1.52,Low (<-1.5)
4GM2,6,-1.59,Low (<-1.5)
4GM2,370,-1.94,Low (<-1.5)
7F3Y,53,-1.2,Moderate (-1.5 to 0)
9N10,214,-3.31,Low (<-1.5)
4GM2,301,-0.55,Moderate (-1.5 to 0)
6UKJ,73,-1.75,Low (<-1.5)
4GM2,99,-1.14,Moderate (-1.5 to 0)
4GM2,45,-0.51,Moderate (-1.5 to 0)
4GM2,170,-1.17,Moderate (-1.5 to 0)
7F3Y,397,-1.02,Moderate (-1.5 to 0)
4GM2,112,-1.49,Moderate (-1.5 to 0)
9N10,410,-1.6,Low (<-1.5)
9N10,334,-3.18,Low (<-1.5)
9N10,143,-2.39,Low (<-1.5)
6UKJ,197,-1.48,Moderate (-1.5 to 0)
7F3Y,357,-1.7,Low (<-1.5)
4GM2,365,-1.88,Low (<-1.5)
9N10,55,-2.88,Low (<-1.5)
7F3Y,1,-1.43,Moderate (-1.5 to 0)
6UKJ,96,-1.69,Low (<-1.5)
9N10,59,-1.15,Moderate (-1.5 to 0)
6UKJ,427,-0.68,Moderate (-1.5 to 0)
4GM2,97,-1.92,Low (<-1.5)
6UKJ,456,-1.13,Moderate (-1.5 to 0)
7F3Y,338,-0.59,Moderate (-1.5 to 0)
7F3Y,468,-1.38,Moderate (-1.5 to 0)
6UKJ,441,-2.16,Low (<-1.5)
7F3Y,95,-0.48,Moderate (-1.5 to 0)
4GM2,432,-1.6,Low (<-1.5)
6UKJ,95,-2.4,Low (<-1.5)
7F3Y,119,-1.0,Moderate (-1.5 to 0)
4GM2,210,-2.3,Low (<-1.5)
9N10,328,-2.64,Low (<-1.5)
9N10,317,-1.87,Low (<-1.5)
7F3Y,267,-1.16,Moderate (-1.5 to 0)
7F3Y,203,-1.39,Moderate (-1.5 to 0)
6UKJ,400,-0.78,Moderate (-1.5 to 0)
9N10,90,-1.69,Low (<-1.5)
9N10,80,-1.92,Low (<-1.5)
6UKJ,52,-0.62,Moderate (-1.5 to 0)
4GM2,284,-1.66,Low (<-1.5)
4GM2,280,-1.98,Low (<-1.5)
9N10,138,-1.7,Low (<-1.5)
7F3Y,28,-0.6,Moderate (-1.5 to 0)
9N10,397,-1.4,Moderate (-1.5 to 0)
7F3Y,242,-1.22,Moderate (-1.5 to 0)
9N10,5,-0.64,Moderate (-1.5 to 0)
9N10,392,-2.13,Low (<-1.5)
9N10,412,-1.92,Low (<-1.5)
7F3Y,245,-0.47,Moderate (-1.5 to 0)
6UKJ,312,-1.55,Low (<-1.5)
7F3Y,6,-1.0,Moderate (-1.5 to 0)
9N10,267,-1.56,Low (<-1.5)
4GM2,73,-1.1,Moderate (-1.5 to 0)
9N10,226,-3.87,Low (<-1.5)
4GM2,439,-0.5,Moderate (-1.5 to 0)
4GM2,100,-1.54,Low (<-1.5)
6UKJ,83,-1.37,Moderate (-1.5 to 0)
4GM2,87,-1.08,Moderate (-1.5 to 0)
9N10,146,-1.28,Moderate (-1.5 to 0)
7F3Y,158,-0.96,Moderate (-1.5 to 0)
7F3Y,113,-0.88,Moderate (-1.5 to 0)
9N10,352,-4.13,Low (<-1.5)
6UKJ,366,-1.88,Low (<-1.5)
4GM2,240,-1.11,Moderate (-1.5 to 0)
6UKJ,438,-0.9,Moderate (-1.5 to 0)
7F3Y,215,-1.58,Low (<-1.5)
9N10,262,-0.67,Moderate (-1.5 to 0)
6UKJ,97,-1.0,Moderate (-1.5 to 0)
6UKJ,180,-1.45,Moderate (-1.5 to 0)
7F3Y,324,-0.45,Moderate (-1.5 to 0)
9N10,313,-1.78,Low (<-1.5)
6UKJ,450,-1.74,Low (<-1.5)
4GM2,381,-1.15,Moderate (-1.5 to 0)
4GM2,151,0.1,High (>0)
9N10,415,-2.79,Low (<-1.5)
9N10,246,-1.12,Moderate (-1.5 to 0)
7F3Y,303,-1.23,Moderate (-1.5 to 0)
4GM2,475,-0.71,Moderate (-1.5 to 0)
9N10,427,-1.12,Moderate (-1.5 to 0)
4GM2,159,-1.54,Low (<-1.5)
4GM2,9,-0.6,Moderate (-1.5 to 0)
4GM2,124,-1.78,Low (<-1.5)
6UKJ,144,-0.92,Moderate (-1.5 to 0)
7F3Y,150,-1.36,Moderate (-1.5 to 0)
4GM2,364,-0.71,Moderate (-1.5 to 0)
6UKJ,473,-0.86,Moderate (-1.5 to 0)
9N10,135,-1.09,Moderate (-1.5 to 0)
9N10,196,-2.77,Low (<-1.5)
4GM2,384,-1.26,Moderate (-1.5 to 0)
4GM2,325,-0.83,Moderate (-1.5 to 0)
9N10,438,-0.95,Moderate (-1.5 to 0)
9N10,86,-1.95,Low (<-1.5)
9N10,12,-1.51,Low (<-1.5)
7F3Y,464,-0.99,Moderate (-1.5 to 0)
7F3Y,145,-1.74,Low (<-1.5)
9N10,220,-1.91,Low (<-1.5)
9N10,112,-3.24,Low (<-1.5)
7F3Y,422,-1.0,Moderate (-1.5 to 0)
6UKJ,155,-0.81,Moderate (-1.5 to 0)
7F3Y,60,-0.44,Moderate (-1.5 to 0)
9N10,162,-2.26,Low (<-1.5)
4GM2,369,-0.67,Moderate (-1.5 to 0)
6UKJ,381,-1.66,Low (<-1.5)
6UKJ,470,-1.62,Low (<-1.5)
4GM2,90,-1.96,Low (<-1.5)
4GM2,395,-0.99,Moderate (-1.5 to 0)
6UKJ,458,-0.59,Moderate (-1.5 to 0)
6UKJ,123,-1.77,Low (<-1.5)
6UKJ,14,-1.78,Low (<-1.5)
4GM2,441,-0.65,Moderate (-1.5 to 0)
9N10,128,-2.09,Low (<-1.5)
9N10,58,-1.66,Low (<-1.5)
7F3Y,93,-0.54,Moderate (-1.5 to 0)
7F3Y,249,-1.22,Moderate (-1.5 to 0)
4GM2,96,-2.34,Low (<-1.5)
9N10,99,-1.88,Low (<-1.5)
4GM2,188,-1.24,Moderate (-1.5 to 0)
7F3Y,382,-0.6,Moderate (-1.5 to 0)
9N10,207,-2.53,Low (<-1.5)
7F3Y,264,-0.84,Moderate (-1.5 to 0)
7F3Y,429,-0.57,Moderate (-1.5 to 0)
7F3Y,222,-1.12,Moderate (-1.5 to 0)
7F3Y,286,-0.67,Moderate (-1.5 to 0)
7F3Y,18,-0.82,Moderate (-1.5 to 0)
9N10,191,-0.74,Moderate (-1.5 to 0)
9N10,460,-3.01,Low (<-1.5)
4GM2,374,-1.04,Moderate (-1.5 to 0)
7F3Y,300,-0.66,Moderate (-1.5 to 0)
7F3Y,86,-1.36,Moderate (-1.5 to 0)
